Ano,Nascimentos,Obitos,Saldo
2010,2939435,1240083,1699352
2011,2974525,1247751,1726774
2012,2953890,1258235,1695655
2013,2953178,1270306,1682872
2014,3028202,1284346,1743856
2015,3070979,1299541,1771438
2016,2901053,1314164,1586889
2017,3020743,1330811,1689932
2018,3003585,1349693,1653892
2019,2984414,1368954,1615460
2020,2963516,1389144,1574372
2021,2940629,1410602,1530027
2022,2913688,1433605,1480083
2023,2885501,1458023,1427478
2024,2856690,1483777,1372913
2025,2827039,1510693,1316346
2026,2797674,1539159,1258515
2027,2768000,1569117,1198883
2028,2738355,1600375,1137980
2029,2710134,1632845,1077289
2030,2683440,1666427,1017013
2031,2655850,1700970,954880
2032,2628742,1736861,891881
2033,2603540,1773877,829663
2034,2579544,1812136,767408
2035,2557147,1851454,705693
2036,2534413,1891832,642581
2037,2513030,1933167,579863
2038,2493021,1975283,517738
2039,2473758,2017958,455800
2040,2455519,2060782,394737
2041,2437785,2103915,333870
2042,2422219,2147419,274800
2043,2407325,2191168,216157
2044,2392409,2234730,157679
2045,2377677,2278119,99558
2046,2363150,2321466,41684
2047,2349527,2364398,-14871
2048,2335541,2407046,-71505
2049,2320604,2449148,-128544
2050,2304717,2490559,-185842
2051,2288973,2531362,-242389
2052,2273127,2571362,-298235
2053,2255972,2610595,-354623
2054,2237804,2648830,-411026
2055,2218450,2686056,-467606
2056,2199622,2722232,-522610
2057,2180831,2757317,-576486
2058,2161015,2791329,-630314
2059,2141033,2824224,-683191
2060,2120842,2856059,-735217
Total,264395714,196798610,67597104